site,phe,individuals,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot
KING,GR50,211,11.5M,6,2020-06-15,Atlantic_Gulf,19.26.40,,,,
KING,PTT.12C,111,10.3M,8,2020-06-13,Gulf,23.58.30,0,,,skip
KING,PTT.12C,135,12.1M,4,2020-06-13,Midwest_Gulf,01.48.14,1,,,skip
KING,PTT.12C,172,11.5M,6,2020-06-16,Atlantic_Gulf,02.52.12,,,,
LINC,CGDD.12C,123,10.6M,3,2020-06-14,Atlantic,07.13.25,0,,,skip
LINC,CGDD.12C,132,12.1M,6,2020-06-12,Midwest_Gulf,16.44.31,100,nice,"Chr04K, Chr05N",
LINC,CGDD.12C,188,11.5M,12,2020-06-15,Atlantic_Gulf,17.48.28,,,,
LINC,CGDD.12C,190,12.3M,9,2020-06-14,Midwest_Atlantic,22.12.12,0,,,skip
LINC,CRAIN.5d,123,10.6M,3,2020-06-14,Atlantic,12.08.41,1,,,skip
LINC,CRAIN.5d,132,12.1M,6,2020-06-12,Midwest_Gulf,23.29.44,1,,,skip
LINC,CRAIN.5d,188,11.5M,3,2020-06-16,Atlantic_Gulf,00.32.28,,,,
LINC,CRAIN.5d,190,12.3M,0,2020-06-15,Midwest_Atlantic,04.27.28,1,,,skip
LINC,CRAIN,123,10.6M,1,2020-06-14,Atlantic,11.55.45,100,nice,,
LINC,CRAIN,132,12.1M,5,2020-06-12,Midwest_Gulf,23.16.04,0,,,skip
LINC,CRAIN,188,11.5M,3,2020-06-16,Atlantic_Gulf,00.18.50,,,,
LINC,CRAIN,190,12.3M,5,2020-06-15,Midwest_Atlantic,04.13.10,10,nice,"Chr05N, Chr08N",
LINC,EM1,123,10.6M,8,2020-06-14,Atlantic,17.31.02,1,,,skip
LINC,EM1,136,12.1M,15,2020-06-13,Midwest_Gulf,07.30.12,1,,,skip
LINC,EM1,189,11.5M,13,2020-06-16,Atlantic_Gulf,08.42.39,,,,
LINC,EM1,193,12.3M,11,2020-06-15,Midwest_Atlantic,11.57.38,100,centromere,Chr02K,
LINC,EM50,123,10.6M,7,2020-06-14,Atlantic,17.43.55,1,,,skip
LINC,EM50,136,12.1M,15,2020-06-13,Midwest_Gulf,07.44.05,0,,,skip
LINC,EM50,189,11.5M,14,2020-06-16,Atlantic_Gulf,08.56.46,,,,
LINC,EM50,193,12.3M,12,2020-06-15,Midwest_Atlantic,12.11.55,10,centromere,,
LINC,FL1,123,10.6M,3,2020-06-14,Atlantic,17.56.45,1,,,skip
LINC,FL1,136,12.1M,9,2020-06-13,Midwest_Gulf,07.58.09,10,messy,,skip
LINC,FL1,189,11.5M,14,2020-06-16,Atlantic_Gulf,09.10.35,,,,
LINC,FL1,193,12.3M,7,2020-06-15,Midwest_Atlantic,12.26.25,10,centromere,,
LINC,FL50,123,10.6M,3,2020-06-14,Atlantic,10.00.32,0,,,skip
LINC,FL50,133,12.1M,9,2020-06-12,Midwest_Gulf,20.31.10,10,,,skip
LINC,FL50,189,11.5M,14,2020-06-15,Atlantic_Gulf,21.32.28,,,,
LINC,FL50,190,12.3M,9,2020-06-15,Midwest_Atlantic,01.49.18,0,,,skip
LINC,GR1,124,10.6M,14,2020-06-14,Atlantic,18.09.40,0,,,skip
LINC,GR1,138,12.1M,3,2020-06-13,Midwest_Gulf,08.12.16,1,,,skip
LINC,GR1,192,11.5M,3,2020-06-16,Atlantic_Gulf,09.24.27,,,,
LINC,GR1,194,12.3M,11,2020-06-15,Midwest_Atlantic,12.41.02,0,,,skip
LINC,GR100,120,10.6M,3,2020-06-14,Atlantic,18.22.25,0,,,skip
LINC,GR100,131,12.1M,3,2020-06-13,Midwest_Gulf,08.26.10,0,,,skip
LINC,GR100,181,11.5M,6,2020-06-16,Atlantic_Gulf,09.38.06,,,,
LINC,GR100,190,12.3M,4,2020-06-15,Midwest_Atlantic,12.55.19,0,,,skip
LINC,GR50,124,10.6M,5,2020-06-14,Atlantic,08.30.32,1,nice,"Chr05N, Chr03K",
LINC,GR50,137,12.1M,3,2020-06-12,Midwest_Gulf,18.38.53,0,,,skip
LINC,GR50,191,11.5M,4,2020-06-15,Atlantic_Gulf,19.40.37,,,,
LINC,GR50,194,12.3M,4,2020-06-15,Midwest_Atlantic,00.08.32,1,nice,Chr05N,
LINC,PTT.12C,123,10.6M,5,2020-06-14,Atlantic,13.51.27,0,,,skip
LINC,PTT.12C,132,12.1M,6,2020-06-13,Midwest_Gulf,02.02.17,1000,nice,"Chr05N, 4K, 8K",
LINC,PTT.12C,188,11.5M,9,2020-06-16,Atlantic_Gulf,03.06.28,,,,
LINC,PTT.12C,190,12.3M,9,2020-06-15,Midwest_Atlantic,06.51.53,0,,,skip
PKLE,CGDD.12C,120,8.8M,13,2020-06-13,Midwest,11.45.17,10,nice,Chr02N,
PKLE,CGDD.12C,184,10.3M,14,2020-06-13,Gulf,18.07.43,10,,,skip
PKLE,CGDD.12C,262,10.6M,14,2020-06-14,Atlantic,06.34.49,10,,,skip
PKLE,CGDD.12C,304,12.1M,5,2020-06-12,Midwest_Gulf,15.47.12,100,,"Chr02N, 4K",skip
PKLE,CGDD.12C,382,12.3M,14,2020-06-14,Midwest_Atlantic,21.28.47,10,nice,1N,
PKLE,CGDD.12C,446,11.5M,9,2020-06-15,Atlantic_Gulf,16.52.25,,,,
PKLE,CRAIN.5d,120,8.8M,2,2020-06-13,Midwest,13.40.15,0,,,skip
PKLE,CRAIN.5d,184,10.3M,7,2020-06-13,Gulf,21.42.44,1,nice,,
PKLE,CRAIN.5d,262,10.6M,0,2020-06-14,Atlantic,10.51.59,10,nice,,
PKLE,CRAIN.5d,304,12.1M,2,2020-06-12,Midwest_Gulf,21.40.11,100,nice,"9N, 7N, 8N",
PKLE,CRAIN.5d,382,12.3M,1,2020-06-15,Midwest_Atlantic,03.01.30,100,nice,"9N, 7N, 8N",
PKLE,CRAIN.5d,446,11.5M,2,2020-06-15,Atlantic_Gulf,22.42.26,,,,
PKLE,CRAIN,120,8.8M,2,2020-06-13,Midwest,13.28.53,1,,,skip
PKLE,CRAIN,184,10.3M,14,2020-06-13,Gulf,21.30.06,10,nice,Chr07K,
PKLE,CRAIN,262,10.6M,11,2020-06-14,Atlantic,10.39.10,10,nice,"3N, 7K",
PKLE,CRAIN,304,12.1M,15,2020-06-12,Midwest_Gulf,21.26.13,0,,,skip
PKLE,CRAIN,382,12.3M,15,2020-06-15,Midwest_Atlantic,02.46.52,0,,,skip
PKLE,CRAIN,446,11.5M,12,2020-06-15,Atlantic_Gulf,22.28.26,,,,
PKLE,EM1,122,8.8M,4,2020-06-13,Midwest,15.11.41,,structure,,skip
PKLE,EM1,226,10.3M,14,2020-06-14,Gulf,00.36.17,1,,,skip
PKLE,EM1,264,10.6M,11,2020-06-14,Atlantic,14.30.14,1,,,skip
PKLE,EM1,348,12.1M,14,2020-06-13,Midwest_Gulf,02.59.17,1,,3N,skip
PKLE,EM1,386,12.3M,14,2020-06-15,Midwest_Atlantic,07.49.46,0,nice,8K,
PKLE,EM1,490,11.5M,14,2020-06-16,Atlantic_Gulf,04.02.15,,,,
PKLE,EM50,122,8.8M,4,2020-06-13,Midwest,15.22.52,,structure,,skip
PKLE,EM50,226,10.3M,14,2020-06-14,Gulf,00.49.14,10,messy,,skip
PKLE,EM50,264,10.6M,12,2020-06-14,Atlantic,14.43.18,10,nice,,
PKLE,EM50,348,12.1M,14,2020-06-13,Midwest_Gulf,03.13.31,10,nice,3N 7K,
PKLE,EM50,386,12.3M,14,2020-06-15,Midwest_Atlantic,08.04.18,0,,,skip
PKLE,EM50,490,11.5M,14,2020-06-16,Atlantic_Gulf,04.16.30,,,,
PKLE,FL1,122,8.8M,2,2020-06-13,Midwest,15.34.16,,structure,,skip
PKLE,FL1,208,10.3M,14,2020-06-14,Gulf,01.01.43,10,nice,"3N, 8N",
PKLE,FL1,263,10.6M,15,2020-06-14,Atlantic,14.56.18,10,nice,,
PKLE,FL1,330,12.1M,8,2020-06-13,Midwest_Gulf,03.27.45,100,nice,"6K, 7K, 8N",
PKLE,FL1,385,12.3M,5,2020-06-15,Midwest_Atlantic,08.18.55,10,nice,2N,
PKLE,FL1,471,11.5M,12,2020-06-16,Atlantic_Gulf,04.30.47,,,,
PKLE,FL50,121,8.8M,9,2020-06-13,Midwest,12.54.29,10,,,skip
PKLE,FL50,184,10.3M,14,2020-06-13,Gulf,20.27.05,10,,,skip
PKLE,FL50,262,10.6M,14,2020-06-14,Atlantic,09.21.45,1,,,skip
PKLE,FL50,305,12.1M,5,2020-06-12,Midwest_Gulf,19.34.49,100,centromere,2N,
PKLE,FL50,383,12.3M,14,2020-06-15,Midwest_Atlantic,01.05.37,1,nice,"5N, 1N",
PKLE,FL50,446,11.5M,12,2020-06-15,Atlantic_Gulf,20.36.20,,,,
PKLE,GR1,125,8.8M,5,2020-06-13,Midwest,15.45.56,0,,,skip
PKLE,GR1,227,10.3M,6,2020-06-14,Gulf,01.14.36,0,,,skip
PKLE,GR1,265,10.6M,3,2020-06-14,Atlantic,15.09.16,0,,,skip
PKLE,GR1,352,12.1M,9,2020-06-13,Midwest_Gulf,03.42.00,0,,,skip
PKLE,GR1,390,12.3M,4,2020-06-15,Midwest_Atlantic,08.33.20,1,,,skip
PKLE,GR1,492,11.5M,9,2020-06-16,Atlantic_Gulf,04.44.50,,,,
PKLE,GR100,123,8.8M,1,2020-06-13,Midwest,15.57.23,1,nice,,
PKLE,GR100,227,10.3M,14,2020-06-14,Gulf,01.27.26,1,,,skip
PKLE,GR100,264,10.6M,3,2020-06-14,Atlantic,15.22.04,0,,,skip
PKLE,GR100,350,12.1M,13,2020-06-13,Midwest_Gulf,03.56.18,1,nice,2N,
PKLE,GR100,387,12.3M,5,2020-06-15,Midwest_Atlantic,08.47.44,1,nice,4K,
PKLE,GR100,491,11.5M,14,2020-06-16,Atlantic_Gulf,04.58.52,,,,
PKLE,GR50,124,8.8M,1,2020-06-13,Midwest,12.20.11,0,,,skip
PKLE,GR50,227,10.3M,14,2020-06-13,Gulf,19.11.32,1,,,skip
PKLE,GR50,265,10.6M,6,2020-06-14,Atlantic,07.52.03,1,nice,9N,
PKLE,GR50,351,12.1M,10,2020-06-12,Midwest_Gulf,17.42.28,1,nice,2N,
PKLE,GR50,389,12.3M,4,2020-06-14,Midwest_Atlantic,23.09.51,1,,,skip
PKLE,GR50,492,11.5M,14,2020-06-15,Atlantic_Gulf,18.44.31,,,,
PKLE,PTT.12C,120,8.8M,13,2020-06-13,Midwest,14.37.13,100,nice,"2N, 6N",
PKLE,PTT.12C,184,10.3M,14,2020-06-13,Gulf,23.33.34,1,nice,3N,
PKLE,PTT.12C,262,10.6M,14,2020-06-14,Atlantic,13.12.45,10,,,skip
PKLE,PTT.12C,304,12.1M,5,2020-06-13,Midwest_Gulf,01.06.20,100,centromere,"2N, 4K",
PKLE,PTT.12C,382,12.3M,14,2020-06-15,Midwest_Atlantic,06.07.53,10,nice,1N,
PKLE,PTT.12C,446,11.5M,12,2020-06-16,Atlantic_Gulf,02.10.14,,,,
STIL,CGDD.12C,135,12.1M,11,2020-06-12,Midwest_Gulf,17.13.30,0,,,skip
STIL,CGDD.12C,141,12.3M,4,2020-06-14,Midwest_Atlantic,22.41.07,100,nice,"4N, 6N, 8K",
STIL,CGDD.12C,168,11.5M,12,2020-06-15,Atlantic_Gulf,18.16.36,,,,
STIL,CRAIN.5d,135,12.1M,1,2020-06-13,Midwest_Gulf,00.24.08,1,,,skip
STIL,CRAIN.5d,141,12.3M,1,2020-06-15,Midwest_Atlantic,05.24.46,10,,7K,skip
STIL,CRAIN.5d,168,11.5M,1,2020-06-16,Atlantic_Gulf,01.27.52,,,,
STIL,CRAIN,135,12.1M,1,2020-06-13,Midwest_Gulf,00.10.45,0,,,skip
STIL,CRAIN,141,12.3M,0,2020-06-15,Midwest_Atlantic,05.10.32,0,,,skip
STIL,CRAIN,168,11.5M,1,2020-06-16,Atlantic_Gulf,01.14.23,,,,
STIL,EM1,154,10.6M,7,2020-06-14,Atlantic,19.39.44,1,nice,9N,
STIL,EM1,217,10.3M,9,2020-06-14,Gulf,04.49.35,0,,,skip
STIL,EM1,230,12.3M,10,2020-06-15,Midwest_Atlantic,14.23.15,0,,,skip
STIL,EM1,293,12.1M,12,2020-06-13,Midwest_Gulf,09.51.39,0,nice,4K,
STIL,EM1,371,11.5M,14,2020-06-16,Atlantic_Gulf,11.02.57,,,,
STIL,EM50,154,10.6M,6,2020-06-14,Atlantic,19.52.51,0,,,skip
STIL,EM50,217,10.3M,9,2020-06-14,Gulf,05.02.13,1,nice,"1N, 2N, 6N",
STIL,EM50,230,12.3M,9,2020-06-15,Midwest_Atlantic,14.37.49,0,,,skip
STIL,EM50,293,12.1M,12,2020-06-13,Midwest_Gulf,10.05.42,10,nice,"1N, 6N",
STIL,EM50,371,11.5M,12,2020-06-16,Atlantic_Gulf,11.17.04,,,,
STIL,FL1,143,10.6M,5,2020-06-14,Atlantic,20.05.37,10,nice,Chr05N,
STIL,FL1,176,10.3M,12,2020-06-14,Gulf,05.14.45,0,,,skip
STIL,FL1,215,12.3M,9,2020-06-15,Midwest_Atlantic,14.52.24,0,,,skip
STIL,FL1,248,12.1M,15,2020-06-13,Midwest_Gulf,10.19.40,0,,,skip
STIL,FL1,319,11.5M,12,2020-06-16,Atlantic_Gulf,11.31.05,,,,
STIL,FL50,137,12.1M,11,2020-06-12,Midwest_Gulf,20.58.53,0,,,skip
STIL,FL50,141,12.3M,4,2020-06-15,Midwest_Atlantic,02.18.15,10,nice,8K,
STIL,FL50,170,11.5M,12,2020-06-15,Atlantic_Gulf,22.00.21,,,,
STIL,GR1,156,10.6M,0,2020-06-14,Atlantic,20.18.16,10,,,skip
STIL,GR1,217,10.3M,2,2020-06-14,Gulf,05.27.19,1,,,skip
STIL,GR1,234,12.3M,0,2020-06-15,Midwest_Atlantic,15.06.26,1,,,skip
STIL,GR1,295,12.1M,11,2020-06-13,Midwest_Gulf,10.34.00,1,nice,Chr05N,
STIL,GR1,373,11.5M,1,2020-06-16,Atlantic_Gulf,11.45.14,,,,
STIL,GR100,149,10.6M,0,2020-06-14,Atlantic,20.30.59,0,,,skip
STIL,GR100,213,10.3M,0,2020-06-14,Gulf,05.39.37,0,,,skip
STIL,GR100,224,12.3M,7,2020-06-15,Midwest_Atlantic,15.20.41,0,,,skip
STIL,GR100,288,12.1M,6,2020-06-13,Midwest_Gulf,10.48.06,1,,,skip
STIL,GR100,362,11.5M,0,2020-06-16,Atlantic_Gulf,11.58.45,,,,
STIL,GR50,154,10.6M,0,2020-06-14,Atlantic,08.55.59,0,,,skip
STIL,GR50,215,10.3M,0,2020-06-13,Gulf,20.01.52,0,,,skip
STIL,GR50,231,12.3M,0,2020-06-15,Midwest_Atlantic,00.36.56,0,,,skip
STIL,GR50,292,12.1M,1,2020-06-12,Midwest_Gulf,19.06.35,10,nice,Chr05N,
STIL,GR50,369,11.5M,1,2020-06-15,Atlantic_Gulf,20.08.15,,,,
STIL,PTT.12C,135,12.1M,11,2020-06-13,Midwest_Gulf,02.31.03,0,,,skip
STIL,PTT.12C,141,12.3M,4,2020-06-15,Midwest_Atlantic,07.21.08,100,nice,"4N, 6K, 6N, 8K",
STIL,PTT.12C,168,11.5M,12,2020-06-16,Atlantic_Gulf,03.34.32,,,,
TMPL,CGDD.12C,103,10.6M,3,2020-06-14,Atlantic,07.39.17,1,,,skip
TMPL,CGDD.12C,163,12.3M,5,2020-06-14,Midwest_Atlantic,22.55.19,1,,,skip
TMPL,CGDD.12C,194,10.3M,7,2020-06-13,Gulf,18.58.39,0,,,skip
TMPL,CGDD.12C,254,12.1M,12,2020-06-12,Midwest_Gulf,17.27.48,0,,,skip
TMPL,CGDD.12C,297,11.5M,12,2020-06-15,Atlantic_Gulf,18.30.27,,,,
TMPL,CRAIN.5d,103,10.6M,3,2020-06-14,Atlantic,12.59.55,10,,,skip
TMPL,CRAIN.5d,163,12.3M,4,2020-06-15,Midwest_Atlantic,05.53.25,10,,,skip
TMPL,CRAIN.5d,194,10.3M,0,2020-06-13,Gulf,23.21.08,10,nice,"Chr04N, Chr05N",
TMPL,CRAIN.5d,254,12.1M,1,2020-06-13,Midwest_Gulf,00.52.17,1,,,skip
TMPL,CRAIN.5d,297,11.5M,8,2020-06-16,Atlantic_Gulf,01.56.06,,,,
TMPL,CRAIN,103,10.6M,3,2020-06-14,Atlantic,12.47.08,0,,,skip
TMPL,CRAIN,163,12.3M,4,2020-06-15,Midwest_Atlantic,05.39.05,1,,,skip
TMPL,CRAIN,194,10.3M,4,2020-06-13,Gulf,23.08.55,10,messy,,skip
TMPL,CRAIN,254,12.1M,2,2020-06-13,Midwest_Gulf,00.38.07,1000,messy,,skip
TMPL,CRAIN,297,11.5M,3,2020-06-16,Atlantic_Gulf,01.41.47,,,,
TMPL,EM1,120,12.3M,4,2020-06-15,Midwest_Atlantic,16.18.30,,,,
TMPL,EM50,106,12.3M,2,2020-06-15,Midwest_Atlantic,16.32.35,,,,
TMPL,FL1,106,10.6M,3,2020-06-14,Atlantic,20.43.43,1,,,skip
TMPL,FL1,167,12.3M,4,2020-06-15,Midwest_Atlantic,15.34.47,1,,,skip
TMPL,FL1,194,10.3M,9,2020-06-14,Gulf,05.52.02,1,,,skip
TMPL,FL1,255,12.1M,12,2020-06-13,Midwest_Gulf,11.01.59,0,,,skip
TMPL,FL1,300,11.5M,12,2020-06-16,Atlantic_Gulf,12.12.32,,,,
TMPL,FL50,106,10.6M,3,2020-06-14,Atlantic,10.26.01,1,nice,Chr08N,
TMPL,FL50,167,12.3M,4,2020-06-15,Midwest_Atlantic,02.32.27,0,,,skip
TMPL,FL50,194,10.3M,6,2020-06-13,Gulf,21.17.19,0,,,skip
TMPL,FL50,255,12.1M,12,2020-06-12,Midwest_Gulf,21.12.26,1,nice,Chr09K,
TMPL,FL50,300,11.5M,12,2020-06-15,Atlantic_Gulf,22.14.22,,,,
TMPL,GR1,112,10.6M,11,2020-06-14,Atlantic,20.56.31,1,,,skip
TMPL,GR1,174,12.3M,6,2020-06-15,Midwest_Atlantic,15.49.26,1,,,skip
TMPL,GR1,204,10.3M,14,2020-06-14,Gulf,06.04.58,10,,,skip
TMPL,GR1,266,12.1M,13,2020-06-13,Midwest_Gulf,11.16.12,10,nice,Chr05K,
TMPL,GR1,316,11.5M,15,2020-06-16,Atlantic_Gulf,12.26.38,,,,
TMPL,GR100,105,10.6M,3,2020-06-14,Atlantic,21.09.27,0,,,skip
TMPL,GR100,165,12.3M,4,2020-06-15,Midwest_Atlantic,16.03.53,,,,
TMPL,GR100,200,10.3M,9,2020-06-14,Gulf,06.17.35,1,,,skip
TMPL,GR100,260,12.1M,11,2020-06-13,Midwest_Gulf,11.30.21,1,,,skip
TMPL,GR100,305,11.5M,11,2020-06-16,Atlantic_Gulf,12.41.13,,,,
TMPL,GR50,107,10.6M,11,2020-06-14,Atlantic,09.08.51,1,,Chr06K,skip
TMPL,GR50,168,12.3M,10,2020-06-15,Midwest_Atlantic,00.51.01,1,,Chr06K,skip
TMPL,GR50,204,10.3M,9,2020-06-13,Gulf,20.14.18,1,,,skip
TMPL,GR50,265,12.1M,13,2020-06-12,Midwest_Gulf,19.20.33,0,,,skip
TMPL,GR50,311,11.5M,11,2020-06-15,Atlantic_Gulf,20.22.05,,,,
TMPL,PTT.12C,103,10.6M,3,2020-06-14,Atlantic,14.17.03,1,,,skip
TMPL,PTT.12C,163,12.3M,4,2020-06-15,Midwest_Atlantic,07.35.21,1,,,skip
TMPL,PTT.12C,194,10.3M,4,2020-06-14,Gulf,00.23.47,0,,,skip
TMPL,PTT.12C,254,12.1M,12,2020-06-13,Midwest_Gulf,02.45.03,0,,,skip
TMPL,PTT.12C,297,11.5M,12,2020-06-16,Atlantic_Gulf,03.48.14,,,,
